iter	Passed	Remaining
0	59	59210
1	59	29709
2	59	19886
3	60	14971
4	60	12018
5	60	10047
6	60	8642
7	61	7587
8	61	6764
9	61	6105
10	61	5567
11	62	5120
12	62	4739
13	62	4414
14	62	4132
15	63	3886
16	63	3668
17	63	3475
18	63	3302
19	64	3146
20	64	3004
21	64	2875
22	64	2757
23	65	2651
24	65	2552
25	65	2464
26	66	2379
27	66	2299
28	66	2226
29	66	2163
30	67	2098
31	67	2038
32	67	1982
33	67	1928
34	68	1877
35	68	1830
36	68	1786
37	68	1743
38	69	1703
39	69	1664
40	69	1627
41	69	1592
42	70	1559
43	70	1527
44	70	1498
45	70	1468
46	71	1440
47	71	1413
48	71	1388
49	71	1364
50	72	1340
51	72	1318
52	72	1296
53	72	1275
54	73	1256
55	73	1237
56	73	1218
57	73	1199
58	74	1181
59	74	1164
60	74	1148
61	74	1131
62	75	1116
63	75	1101
64	75	1087
65	75	1073
66	76	1059
67	76	1045
68	76	1032
69	76	1020
70	77	1007
71	77	995
72	77	984
73	77	973
74	78	962
75	78	952
76	78	941
77	78	930
78	78	920
79	79	910
80	79	901
81	79	892
82	79	881
83	80	872
84	80	863
85	80	855
86	80	847
87	80	838
88	81	831
89	81	823
90	81	817
91	82	809
92	82	802
93	82	795
94	82	788
95	83	781
96	83	774
97	83	768
98	83	762
99	84	756
100	84	750
101	84	743
102	84	737
103	84	732
104	85	726
105	85	720
106	85	715
107	85	709
108	86	704
109	86	698
110	86	693
111	86	688
112	87	683
113	87	678
114	87	674
115	87	669
116	88	664
117	88	659
118	88	655
119	88	651
120	88	646
121	89	641
122	89	637
123	89	633
124	89	628
125	90	624
126	90	620
127	90	616
128	90	612
129	90	608
130	91	604
131	91	601
132	91	597
133	91	594
134	92	590
135	92	587
136	92	583
137	92	580
138	93	577
139	93	573
140	93	570
141	93	566
142	94	563
143	94	560
144	94	557
145	94	554
146	94	551
147	95	548
148	95	545
149	95	542
150	95	539
151	96	536
152	96	533
153	96	531
154	97	529
155	97	526
156	97	524
157	97	521
158	98	519
159	98	517
160	98	514
161	98	511
162	99	509
163	99	506
164	99	504
165	99	501
166	100	499
167	100	497
168	100	494
169	100	492
170	101	490
171	101	487
172	101	485
173	101	483
174	102	481
175	102	478
176	102	476
177	102	474
178	102	472
179	103	470
180	103	468
181	103	466
182	103	463
183	104	461
184	104	459
185	104	457
186	104	455
187	105	453
188	105	452
189	105	450
190	105	448
191	106	446
192	106	444
193	106	442
194	106	440
195	106	438
196	107	436
197	107	435
198	107	433
199	107	431
200	108	429
201	108	427
202	108	426
203	108	424
204	109	422
205	109	421
206	109	419
207	109	417
208	109	416
209	110	414
210	110	413
211	110	411
212	110	409
213	111	408
214	111	406
215	111	405
216	111	403
217	112	402
218	112	400
219	112	399
220	112	397
221	113	396
222	113	394
223	113	393
224	113	391
225	113	390
226	114	388
227	114	387
228	114	386
229	114	384
230	115	383
231	115	381
232	115	380
233	115	379
234	116	378
235	116	376
236	116	375
237	116	374
238	117	373
239	117	371
240	117	370
241	117	369
242	118	367
243	118	366
244	118	365
245	118	364
246	119	363
247	119	361
248	119	360
249	119	359
250	120	358
251	120	356
252	120	355
253	120	354
254	120	353
255	121	352
256	121	351
257	121	349
258	121	348
259	122	347
260	122	346
261	122	345
262	122	344
263	123	343
264	123	342
265	123	341
266	123	339
267	124	338
268	124	337
269	124	336
270	124	335
271	125	334
272	125	333
273	125	332
274	125	331
275	125	330
276	126	329
277	126	328
278	126	327
279	126	326
280	127	325
281	127	324
282	127	323
283	127	322
284	128	321
285	128	320
286	128	319
287	128	318
288	129	317
289	129	316
290	129	316
291	129	315
292	130	314
293	130	313
294	130	312
295	130	311
296	131	310
297	131	309
298	131	308
299	131	307
300	132	306
301	132	305
302	132	305
303	132	304
304	133	303
305	133	302
306	133	301
307	133	300
308	134	299
309	134	298
310	134	297
311	134	297
312	135	296
313	135	295
314	135	294
315	135	293
316	136	293
317	136	292
318	136	291
319	136	290
320	136	289
321	137	288
322	137	288
323	137	287
324	137	286
325	138	285
326	138	284
327	138	283
328	138	283
329	139	282
330	139	281
331	139	280
332	139	279
333	140	279
334	140	278
335	140	277
336	140	276
337	140	276
338	141	275
339	141	274
340	141	273
341	141	272
342	142	272
343	142	271
344	142	270
345	142	269
346	143	269
